1,  abo         , j     ,!,!,!,!
2,  hiomo       , j,,     ,!,!
3,  avio        ,!,,    ,!,!
4,  elikko      , j,, ,!,!
5,  häkki        ,,!,!,!,!
6,  agari       ,,-e,-e       ,!,!
7,  kaikki         ,,!,!,!,!
8,  nukke        , j,!,!,,!
9,  ankka         ,-oj,!,!,,!
10,  fokka         ,-i,!,!,,!
11,  itara       , -i,-o,-o,,!
12,  urea        ,!, -o, -o ,,!
13,  aluna       , -oj,-o,-,,!
14,  ulappa      , -oj,-oj,-o ,,!
15,  upea        ,!,-,-,,!
16,  kumpi       ,,!,!,!,!
17,  keruu       ,!, -,-   ,!,!
18,  jää         ,!, -,-   ,!,!
19,  suo         ,!, _-,_-   ,!,!
20,  bukee       ,!, -,-   ,!,!
21,  gay         ,!, ,    ,!,!
22,  buffet      ,i,!,!,!,!
23,  lohi        ,,!,!,!,!
24,  uni         ,,!,!,!, -
25,  liemi       ,,!,!,!, --n
26,  veri        ,,!,!,!, -
27,  mesi        ,,!,!,!, --t
28,  kansi       ,,!,!,!, ---s
29,  lapsi       ,,!,!,!, ---s
30,  peitsi      ,,!,!,!, ---s
31,  yksi        ,,!,!,!,!
32,  tytär       , i,!,!,!,
33,  asetin      ,mi,!,!,!,n
34,  hapan     , mi,!,!,!,n
35,  lämmin      , mi,!,!,!,n
36,  alin        , mpi,!,!,mpa,
37,  vasen       , mpi,!,!,mpa,n
38,  öinen       ,si,!,!,!,s
39,  ajos        , ksi,!,!,!,s
40,  etuus       , ksi   ,!,!,!,!
41,  rakas        ,!, , ,!,!
42,  mies        , hi,!,!,!,s
43,  immyt        ,!, , ,!,!
44,  kevät       ,!, ,    ,!,!
45,  sadas       , nsi   ,!,!,!,!
46,  tuhat       , nsi,!,!,!,n
47,  mennyt      ,!, -e,-e  ,!,!
48,  hake         ,!, ,  ,!,!
49,  kinner, i,e,e   ,!,
