#         :::::,0     ,1     ,2     ,3     ,4     ,5     ,6     ,7     ,8     ,9     ,10    ,11    ,12    ,13    ,14    ,15    ,16    ,17    ,18    ,19    ,20    ,21    ,22    ,23    ,24    ,25    ,26    ,27    ,28    ,29, 30,  31,    32, 33
#             ,      ,n     ,a     ,ssa   ,sta   ,*n    ,lla   ,lta   ,lle   ,na    ,ksi   ,tta   ,t     ,en    ,a     ,issa  ,ista  ,in    ,illa  ,ilta  ,ille  ,ina   ,iksi  ,itta  ,in    ,en    ,iden  ,itten ,in    ,ten, in,  ihin, a,  ita
01  ukko        ,     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,j     ,j     ,      ,      ,ih    ,      ,      ,      ,      ,      ,      ,      ,j     ,!     ,!     ,!     ,!   ,?   ,     ,j  ,?
02  hiomo       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,j     ,it    ,      ,      ,ih    ,      ,      ,      ,      ,      ,      ,      ,j     ,      ,      ,!     ,!   ,?   ,     ,jxxx   ,
03  avio        ,      ,      ,t     ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,id    ,it    ,      ,      ,ih    ,      ,      ,      ,      ,      ,      ,      ,!     ,      ,      ,!     ,!   ,?   ,      ,?   ,
04  elikko      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,j     ,j     ,      ,      ,ih    ,      ,      ,      ,      ,      ,      ,      ,j     ,      ,      ,!     ,!   ,?   ,     ,j   ,
05  häkki       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,-ej   ,-e    ,-e    ,-eih  ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,!     ,!     ,!     ,!   ,?   , -e  ,-eja , ? 
06  agar        ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,-ej   ,-e    ,-e    ,-eih  ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,-e    ,-e    ,!     ,!   ,?   , -e  ,-ej , -e
07  hanhi       ,      ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,-e    ,      ,      ,-     ,-     ,      ,-     ,-     ,-     ,-     ,-     ,-     ,-     ,      ,!     ,!     ,!     ,!   ,    ,   ? ,    ,?  
08  nukke       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,j     ,j     ,      ,      ,ih    ,      ,      ,      ,      ,      ,      ,      ,j     ,!     ,!     ,      ,    ,?   ,     ,j   ,?
09  ankka       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,-oj   ,-oj   ,-o    ,-o    ,-oih  ,-o    ,-o    ,-o    ,-o    ,-o    ,-o    ,-o    ,-oj   ,!     ,!     ,      ,!   ,    , _o  ,-oj ,?
10  fokka       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,-i    ,-i    ,-     ,-     ,-i    ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,-i    ,!     ,!     ,      ,!   ,-i  , ?   ,-i  , ? 
11  itara       ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,-i    ,-i    ,-     ,-     ,-i    ,-     ,-     ,-     ,-     ,-     ,-    ,-     ,-i    ,-o    ,-o    ,      ,!   ,-i  , -o  ,-i  , -o
