
52=,.a,.a,.n*,.t*,..,.mme*,.tte*,.vat,*,.ta*,taan*,nut,imme,itte,ivat,in*,it*,i,ttu*,ttiin*,aksemme,aksenne,akseni,aksesi,akseen/aksensa,ttaman*,essa,en,ttaessa*,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,tut*,ttu*,vat,va,ttava*,maisillaan/maisillansa,maisillamme,maisillanne,maisillani,maisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ttaisiin*,kaamme,kaa,koot,*,koon,ttakoon*,minen,mista,nemme,nette,nevat,nen,net,nee
53=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,anut,imme*,itte*,ivat,in*,it*,i,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,anut,etut*,ettu*,avat,ava,ettava*,amaisillansa/amaisillaan,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,anemme,anette,anevat,anen,anet,anee
5 4=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,anut,-simme,-sitte,-sivat,-sin,-sit,-si,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,anut,etut*,ettu*,avat,ava,ettava*,amaisillaan/amaisillansa,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,anemme,anette,anevat,anen,anet,anee
55=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,anut,imme*/-simme*,itte*/-sitte*,-sivat/ivat,in*/-sin*,it*/-sit,i/-si,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,anut,etut*,ettu*,avat,ava,ettava*,amaisillansa/amaisillaan,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,anemme,anette,anevat,anen,anet,anee
56=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,anut,oimme*,oitte*,oivat,oin*,oit*,oi,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,anut,etut*,ettu*,avat,ava,ettava*,amaisillaan/amaisillansa,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,anemme,anette,anevat,anen,anet,anee
57=,aa,aa,an*,at*,aa,amme*,atte*,avat,a*,eta*,etaan*,anut,oimme/-simme,oitte/-sitte,-sivat/oivat,oin*/-sin*,oit*/-sit*,-si/oi,ettu*,ettiin*,aaksemme,aaksenne,aakseni,aaksesi,aakseen/aaksensa,ettaman*,aessa,aen,ettaessa*,amatta,amalla,amasta,amaan,amassa,aman,amatta,amalla,amista,amasta,aman,amaan,amassa,ama,anut,etut*,ettu*,avat,ava,ettava*,amaisillaan/amaisillansa,amaisillamme,amaisillanne,amaisillani,amaisillasi,aisi,aisimme,aisitte,aisivat,aisin,aisit,aisi,ettaisiin*,akaamme,akaa,akoot,a*,akoon,ettakoon*,aminen,amista,anemme,anette,anevat,anen,anet,anee
58=,ea,ea,en*,et*,ee,emme*,ette*,evat,e*,eta*,etaan*,enut,imme*,itte*,ivat,in*,it*,i,ettu*,ettiin*,eaksemme,eaksenne,eakseni,eaksesi,eakseen/eaksensa,ettaman*,iessa,ien,ettaessa*,ematta,emalla,emasta,emaan,emassa,eman,ematta,emalla,emista,emasta,eman,emaan,emassa,ema,enut,etut*,ettu*,evat,eva,ettava*,emaisillaan/emaisillansa,emaisillamme,emaisillanne,emaisillani,emaisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ettaisiin*,ekaamme,ekaa,ekoot,e*,ekoon,ettakoon*,eminen,emista,enemme,enette,enevat,enen,enet,enee
59=,ea,ea,en*,et*,ee,emme*,ette*,evat,e*,eta*,etaan*,enut,-simme,-sitte,-sivat,-sin,-sit,-si,ettu*,ettiin*,eaksemme,eaksenne,eakseni,eaksesi,eakseen/eaksensa,ettaman*,iessa,ien,ettaessa*,ematta,emalla,emasta,emaan,emassa,eman,ematta,emalla,emista,emasta,eman,emaan,emassa,ema,enut,etut*,ettu*,evat,eva,ettava*,emaisillaan/emaisillansa,emaisillamme,emaisillanne,emaisillani,emaisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ettaisiin*,ekaamme,ekaa,ekoot,e*,ekoon,ettakoon*,eminen,emista,enemme,enette,enevat,enen,enet,enee
60=,ea,ea,en*,et*,ee,emme*,ette*,evat,e*,eta*,etaan*,enut,imme*/--ksimme*,itte*/--ksitte*,ivat/--ksivat,in*/--ksin*,it*/--ksit*,i/--ksi,ettu*,ettiin*,eaksemme,eaksenne,eakseni,eaksesi,eakseen/eaksensa,ettaman*,iessa,ien,ettaessa*,ematta,emalla,emasta,emaan,emassa,eman,ematta,emalla,emista,emasta,eman,emaan,emassa,ema,enut,etut*,ettu*,evat,eva,ettava*,emaisillansa/emaisillaan,emaisillamme,emaisillanne,emaisillani,emaisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ettaisiin*,ekaamme,ekaa,ekoot,e*,ekoon,ettakoon*,eminen,emista,enemme,enette,enevat,enen,enet,enee
61=,ia,ia,in*,it*,ii,imme*,itte*,ivat,i*,ita*,itaan*,inut,imme*,itte*,ivat,in*,it*,i,ittu*,ittiin*,iaksemme,iaksenne,iakseni,iaksesi,iakseen/iaksensa,ittaman*,iessa,ien,ittaessa*,imatta,imalla,imasta,imaan,imassa,iman,imatta,imalla,imista,imasta,iman,imaan,imassa,ima,inut,itut*,ittu*,ivat,iva,ittava*,imaisillaan/imaisillansa,imaisillamme,imaisillanne,imaisillani,imaisillasi,isi,isimme,isitte,isivat,isin,isit,isi,ittaisiin*,ikaamme,ikaa,ikoot,i*,ikoon,ittakoon*,iminen,imista,inemme,inette,inevat,inen,inet,inee
62=,da,da,n,t,,mme,tte,vat,,da,daan,nut,mme,tte,vat,n,t,,tu,tiin,daksemme,daksenne,dakseni,daksesi,dakseen/daksensa,taman,dessa,den,taessa,matta,malla,masta,maan,massa,man,matta,malla,mista,masta,man,maan,massa,ma,nut,dut,tu,vat,va,tava,maisillaan/maisillansa,maisillamme,maisillanne,maisillani,maisillasi,si,simme,sitte,sivat,sin,sit,si,taisiin,kaamme,kaa,koot,,koon,takoon,minen,mista,nemme,nette,nevat,nen,net,nee
