001 0 hilut
001 0 bailut
001 0 housut
001 0 mensut
001 0 vällyt
001 0 kimpsut
001 0 aivot
001 0 fudut
001 0 kemut
001 0 torut
001 0 kasvot
001 0 pöksyt
001 0 jortsut
001 0 kampsut
001 A menkut menkku
001 A terkut terkku
001 A farkut farkku
001 B lemput lemppu
001 D urut urku
001 F pidot pito
001 F käädyt kääty
001 J opinnot opinto
002 0 illatsut
002 0 pippalot
003 0 aaloe aaloeo
003 0 collie collie
003 0 kapiot
003 0 oboe oboe
003 0 lassie lassie
003 0 zombie zombie
005 0 cup cupi
005 0 fan fani
005 0 lux luksi
005 0 par pari
005 0 pub pubi
005 0 rap rapi
005 0 tag tagi
005 0 tic -
005 0 wok woki
005 0 zen zeni
005 0 amok amoki
005 0 avec aveci
005 0 beat beati
005 0 folk folki
005 0 golf golfi
005 0 lied liedi
005 0 punk punki
005 0 rock rocki
005 0 sial siali
005 0 smog smogi
005 0 soul souli
005 0 stop stopi
005 0 teak teaki
005 0 argon argoni
005 0 bebop bebopi
005 0 blues bluesi
005 0 crack cracki
005 0 debet debeti
005 0 eeden eedeni
005 0 hymen humeni
005 0 icing icingi
005 0 jamit
005 0 khmer khmeri
005 0 ko?er kosheri
005 0 radon radoni
005 0 samum samumi
005 0 sisal sisali
005 0 tarot taroti
005 0 trial triali
005 0 cancan cancani
005 0 denier denieri
005 0 doping dopingi
005 0 hiphop hiphopi
005 0 jugend jugendi
005 0 ka?mir kasmiri
005 0 keimit
005 0 kelvin kelvini
005 0 kennel kenneli
005 0 kiesit
005 0 kredit krediti
005 0 kutrit
005 0 litium litiumi
005 0 lotion lotioni
005 0 market marketi
005 0 output outputi
005 0 paarit
005 0 parsek parseki
005 0 pinyin pinuini
005 0 rating ratingi
005 0 reivit
005 0 rodium rodiumi
005 0 senior seniori
005 0 slalom slalomi
005 0 squash squashi
005 0 talmud talmudi
005 0 tiibet tiibeti
005 0 tilsit tilsiti
005 0 wigwam wigwami
005 0 burnout burnouti
005 0 cheddar cheddari
005 0 csárdás csardsasi
005 0 dumping dumpingi
005 0 genever geneveri
005 0 helibor helibori
005 0 iridium iridiumi
005 0 jukebox jukeboksi
005 0 kadmium kadmiumi
005 0 karting kartingi
005 0 ketchup ketchupi
005 0 knesset knesseti
005 0 krypton kruptoni
005 0 leasing leasingi
005 0 mahjong mahjongi
005 0 marakas marakasi
005 0 maraton maratoni
005 0 natrium natriumi
005 0 niobium niobiumi
005 0 petting pettingi
005 0 playoff playohvi
005 0 protium protiumi
005 0 ramadan ramadani
005 0 requiem requiemi
005 0 romadur romaduri
005 0 röntgen röntgeni
005 0 senssit
005 0 sortsit
005 0 tallium talliumi
005 0 topless toplessi
005 0 treffit
005 0 bismarck bismarcki
005 0 bungalow bungalowi
005 0 calvados calvadosi
005 0 catering cateringi
005 0 clearing clearingi
005 0 cocktail cocktaili
005 0 couscous couscousi
005 0 designer designeri
005 0 distikon distikoni
005 0 emmental emmentali
005 0 feedback feedbacki
005 0 handicap handicapi
005 0 hereford herefordi
005 0 pingpong pingpongi
005 0 plankton planktoni
005 0 playback plaubacki
005 0 quisling quislingi
005 0 rutenium ruteniumi
005 0 sanskrit sanskriti
005 0 stuntman stuntmani
005 0 apartheid apartheidi
005 0 arboretum arboretumi
005 0 beryllium berulliumi
005 0 boyfriend boyfriendi
005 0 camembert camemberti
005 0 edelweiss edelweissi
005 0 ekstranet ekstraneti
005 0 factoring factoringi
005 0 finanssit
005 0 magnesium magnesiumi
005 0 minicross minicrossi
005 0 motocross motocrossi
005 0 moussakas moussakasi
005 0 roquefort roqueforti
005 0 slapstick slapsticki
005 0 strontium strontiumi
005 0 teknetium teknetiumi
005 0 zirkonium zirkoniumi
005 0 genitaalit
005 0 leggingsit
005 0 parabellum parabellumi
005 0 simsalabim simsalabimi
005 0 trenchcoat trenchcoat
005 0 vorschmack vorschmacki
005 0 franchising franchisingi
005 0 poltergeist poltergeist
005 0 sightseeing sightseeingi
005 0 underground undergroundi
005 0 bodybuilding bodubuildingi
005 0 rhododendron rhododendroni
005 0 universiadit
005 0 establishment establishmenti
005 0 led ledi
005 0 pop popi
005 0 aids aidsi
005 0 chic chiki
005 0 jazz -
005 0 look looki
005 0 neon neoni
005 0 riff rihvi
005 0 shop shopi
005 0 swap svapi
005 0 trap trapi
005 0 bänks bänksi
005 0 chips shipsi
005 0 input inputi
005 0 islam islami
005 0 kajal kajali
005 0 kebab kebabi
005 0 loden lodeni
005 0 mosel moseli
005 0 sioux siouksi
005 0 skeet skeeti
005 0 stout stouti
005 0 swing swingi
005 0 tweed tweedi
005 0 twist twisti
005 0 atrium atriumi
005 0 barium bariumi
005 0 bor?t? -
005 0 brunch -
005 0 cesium cesiumi
005 0 design designi
005 0 dralon draloni
005 0 geimit
005 0 geisir geisiri
005 0 geysir geysiri
005 0 gospel gospeli
005 0 haitek haiteki
005 0 helium heliumi
005 0 indium indiumi
005 0 jiddi? -
005 0 junior juniori
005 0 kalium kaliumi
005 0 kitsch kitschi
005 0 ksenon ksenoni
005 0 kuskus kuskusi
005 0 layout layout
005 0 mohair mohairi
005 0 napalm napalmi
005 0 newton newtoni
005 0 offset offseti
005 0 osmium osmiumi
005 0 pascal pascali
005 0 picnic picnici
005 0 radium radiumi
005 0 rillit
005 0 sitcom sitcomi
005 0 snacks snacksi
005 0 thorax thoraksi
005 0 tomtom tomtomi
005 0 torium toriumi
005 0 aerobic aerobici
005 0 camping campingi
005 0 feeniks feeniksi
005 0 glamour glamouri
005 0 kalsium kalsiumi
005 0 leghorn leghorni
005 0 nonstop nonstopi
005 0 popcorn popcorni
005 0 prillit
005 0 smoking smokingi
005 0 western westerni
005 0 whippet whippeti
005 0 ?antung -
005 0 armagnac armagnaci
005 0 baseball baseballi
005 0 business businessi
005 0 glasnost glasnosti
005 0 goodwill goodwilli
005 0 jacquard jacquardi
005 0 joystick jousticki
005 0 polonium poloniumi
005 0 preesens preesensi
005 0 sandwich sandwichi
005 0 shortsit
005 0 skinhead skinheadi
005 0 telemark telemarki
005 0 tomahawk tomahawki
005 0 workshop workshopi
005 0 afrikaans afrikaansi
005 0 ajatollah ajatollahi
005 0 bantustan bantustani
005 0 becquerel becquereli
005 0 copyright copyrighti
005 0 croissant croissanti
005 0 deuterium deuteriumi
005 0 dixieland diksielandi
005 0 evergreen evergreeni
005 0 glencheck glenchecki
005 0 happening happeningi
005 0 palladium palladiumi
005 0 plutonium plutoniumi
005 0 quickstep quickstepi
005 0 resurssit
005 0 sirkonium sirkoniumi
005 0 slivovits slivovitsi
005 0 stroganov stroganovi
005 0 charleston charlestoni
005 0 mainstream mainstreami
005 0 management managementi
005 0 rallicross rallicrossi
005 0 stretching stretchingi
005 0 syankalium suankaliumi
005 0 cheerleader cheerleaderi
005 0 polterabend polterabendi
005 0 klimakterium klimakteriumi
005 0 chateaubriand chateaubriandi
005 0 understatement understatementi
005 B pop poppi
005 C pinsetit pinsetti
005 C kastanjetit kastanjetti
005 F pihdit pihti
005 G tongit tonki
005 G juomingit juominki
005 G kalsongit kalsonki
005 G syömingit syöminki
006 0 agar agari
006 0 edam edami
006 0 sitar sitari
006 0 gallup gallupi
006 0 kaanon kaanoni
006 0 nailon nailoni
006 0 tandem tandemi
006 0 bourbon bourboni
006 0 chanson chansoni
006 0 liperit
006 0 schäfer schäferi
006 0 snooker snookeri
006 0 stadion stadioni
006 0 kalterit
006 0 kummarit
006 0 laudatur laudaturi
006 0 simmarit
006 0 triatlon triatloni
006 0 uikkarit
006 0 nyyttärit
006 0 vankkurit
006 0 backgammon backgammoni
006 0 bestseller bestselleri
006 0 copywriter copuwriteri
006 0 freelancer freelanceri
006 0 biedermeier biedermeieri
006 0 rial riali
006 0 laser laseri
006 0 lumen lumeni
006 0 nylon nyloni
006 0 pyton pytoni
006 0 tutor tutori
006 0 weber weberi
006 0 bitter bitteri
006 0 blazer blatseri
006 0 dealer dealeri
006 0 diesel dieseli
006 0 loafer loaferi
006 0 luumen luumeni
006 0 nelson nelsoni
006 0 nestor nestori
006 0 t?ador -
006 0 vesper vesperi
006 0 bikinit
006 0 donjuan donjuani
006 0 kassler kassleri
006 0 loparit
006 0 tekarit
006 0 voucher voucheri
006 0 dongarit
006 0 kalsarit
006 0 kekkerit
006 0 kinkerit
006 0 kokkarit
006 0 outsider outsideri
006 0 polvarit
006 0 sammarit
006 0 ångström ongstromi
006 0 henkselit
006 0 hiihtarit
006 0 lantsarit
006 0 penkkarit
006 0 polttarit
006 0 stilleben stillebeni
006 0 synttärit
006 0 approbatur approbaturi
006 0 babysitter babusitteri
006 0 improbatur improbaturi
006 0 rottweiler rottweileri
006 0 appenzeller appenzelleri
006 0 besserwisser besserwisseri
006 0 liirumlaarum liirumlaarumi
007 0 sakset saksi
007 0 päitset päitsi
007 0 suitset suitsi
007 G länget länki
008 0 bänet
008 0 ravet
009 0 silat
009 0 hatkat
009 0 kihlat
009 0 tangat
009 0 tirsat
009 0 perskat
