V0520a,abstraktistua,abstraktistun,abstraktistuu,abstraktistuta,abstraktistunut,abstraktistui,abstraktistuttu,abstraktistuen,abstraktistuisi,abstraktistukaa,abstraktistunemme,,
V0530a,aakkostaa,aakkostan,aakkostaa,aakkosteta,aakkostanut,aakkosti,aakkostettu,aakkostaen,aakkostaisi,aakkostakaa,aakkostanemme,,
V0540‰,lyps‰‰,lyps‰n,lyps‰‰,lypset‰,lyps‰nyt,lypsi,lypsetty,lyps‰en,lyps‰isi,lyps‰k‰‰,lyps‰nemme,,
V055F‰,h‰‰t‰‰,h‰‰d‰n,h‰‰t‰‰,h‰‰det‰,h‰‰t‰nyt,h‰‰si/h‰‰ti,h‰‰detty,h‰‰t‰en,h‰‰t‰isi,h‰‰t‰k‰‰,h‰‰t‰nemme,,
V0560a,ajaa,ajan,ajaa,ajeta,ajanut,ajoi,ajettu,ajaen,ajaisi,ajakaa,ajanemme,,
V057Fa,kaataa,kaadan,kaataa,kaadeta,kaatanut,kaasi/kaatoi,kaadettu,kaataen,kaataisi,kaatakaa,kaatanemme,,
V0580‰,ime‰,imen,imee,imet‰,imenyt,imi,imetty,imien,imisi,imek‰‰,imenemme,,
V059Ja,tuntea,tunnen,tuntee,tunneta,tuntenut,tunsi,tunnettu,tuntien,tuntisi,tuntekaa,tuntenemme,,
V060F‰,l‰hte‰,l‰hden,l‰htee,l‰hdet‰,l‰htenyt,l‰hti/l‰ksi,l‰hdetty,l‰htien,l‰htisi,l‰htek‰‰,l‰htenemme,,
V0610a,ahmia,ahmin,ahmii,ahmita,ahminut,ahmi,ahmittu,ahmien,ahmisi,ahmikaa,ahminemme,,
V0620a,aateloida,aateloin,aateloi,aateloida,aateloinut,aateloi,aateloitu,aateloiden,aateloisi,aateloikaa,aateloinemme,,
V0630‰,j‰‰d‰,j‰‰n,j‰‰,j‰‰d‰,j‰‰nyt,j‰i,j‰‰ty,j‰‰den,j‰isi,j‰‰k‰‰,j‰‰nemme,,
V0640a,juoda,juon,juo,juoda,juonut,joi,juotu,juoden,joisi,juokaa,juonemme,,
V0650‰,k‰yd‰,k‰yn,k‰y,k‰yd‰,k‰ynyt,k‰vi,k‰yty,k‰yden,k‰visi,k‰yk‰‰,k‰ynemme,,
V0660a,ahmaista,ahmaisen,ahmaisee,ahmaista,ahmaissut,ahmaisi,ahmaistu,ahmaisten,ahmaisisi,ahmaiskaa,ahmaissemme,,
V0670a,aaltoilla,aaltoilen,aaltoilee,aaltoilla,aaltoillut,aaltoili,aaltoiltu,aaltoillen,aaltoilisi,aaltoilkaa,aaltoillemme,,
V0680a,ahkeroida,ahkeroin/ahkeroitsen,ahkeroi/ahkeroitsee,ahkeroida,ahkeroinut,ahkeroi/ahkeroitsi,ahkeroitu,ahkeroiden,ahkeroisi/ahkeroitsisi,ahkeroikaa,ahkeroinemme,,
V0690a,ansaita,ansaitsen,ansaitsee,ansaita,ansainnut,ansaitsi,ansaittu,ansaiten,ansaitsisi,ansaitkaa,ansainnemme,,
V0700a,juosta,juoksen,juoksee,juosta,juossut,juoksi,juostu,juosten,juoksisi,juoskaa,juossemme,,
V0710‰,n‰hd‰,n‰en,n‰kee,n‰hd‰,n‰hnyt,n‰ki,n‰hty,n‰hden,n‰kisi,n‰hk‰‰,n‰hnemme,,
V0720a,aleta,alenen,alenee,aleta,alennut,aleni,alettu,aleten,alenisi,aletkaa,alennemme,,
V0730a,aisata,aisaan,aisaa,aisata,aisannut,aisasi,aisattu,aisaten,aisaisi,aisatkaa,aisannemme,,
V0740a,erota,eroan,eroaa,erota,eronnut,erosi,erottu,eroten,eroaisi/eroisi,erotkaa,eronnemme,,
V0750a,bingota,bingoan,bingoaa,bingota,bingonnut,bingosi,bingottu,bingoten,bingoaisi,bingotkaa,bingonnemme,,
V076Fa,taitaa,taidan,taitaa,taideta,tainnut/taitanut,taisi,taidettu,taitaen,taitaisi,taitakaa,tainnemme/taitanemme,,
V0770‰,hel‰j‰‰,Sg1+?,hel‰j‰‰,ConNeg+?,ConNeg+?,hel‰ji,ConNeg+?,Ins+?,hel‰j‰isi,Pl2+?,Pl1+?,,
V0780‰,helsk‰‰,Sg1+?,helsk‰‰,ConNeg+?,ConNeg+?,Sg3+?,ConNeg+?,Ins+?,helsk‰isi,Pl2+?,Pl1+?,,
V0990a,kusta,kusen,kusee,kusta,kussut,kusi,kustu,kusten,kusisi,kuskaa,kussemme,,
