09,,,,,,,,,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nn,,,,,,,,,,,,,,,,,,,,,,,,,,,nn,nn,nn,nn,nn,nn,,
52,*,*,*,,,,,,t,t,n,,,,,,,t,t,,,,,,,,,t,,,,,,,,,,,,,,,n,t,t,,,t,,,,,,,,,,,,,t,,,,,,t,,,n,n,n,n,n,n,,
53,a,a,a,aa,a,a,a,a,et,et,an,,,,,,,et,et,a,a,a,a,a,et,a,a,et,a,a,a,a,a,a,a,a,a,a,a,a,a,a,an,et,et,a,a,et,,,a,a,a,a,a,a,a,a,a,a,et,a,a,a,a,a,et,a,a,an,an,an,an,an,an,,
54,a,a,a,aa,a,a,a,a,et,et,an,s,s,s,s,s,s,et,et,a,a,a,a,a,et,a,a,et,a,a,a,a,a,a,a,a,a,a,a,a,a,a,an,et,et,a,a,et,,a,a,a,a,a,a,a,a,a,a,a,et,a,a,a,a,a,et,a,a,an,an,an,an,an,an,,
55,a,a,a,aa,a,a,a,a,et,et,an,s,s,t,s,s,t,et,et,ta,ta,ta,ta,ta,et,ta,ta,et,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,tan,et,et,ta,ta,et,,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,et,ta,ta,ta,a,ta,et,ta,ta,tan,tan,tan,tan,tan,tan,,
56,a,a,a,aa,a,a,a,a,et,et,an,o,o,o,o,o,o,et,et,a,a,a,a,a,et,a,a,et,a,a,a,a,a,a,a,a,a,a,a,a,a,a,an,et,et,a,a,et,a,a,a,a,a,a,a,a,a,a,a,a,et,a,a,a,a,a,et,a,a,an,an,an,an,an,an,,
57,a,a,a,aa,a,a,a,a,et,et,an,s,s,s,s,s,s,et,et,ta,ta,ta,ta,ta,et,ta,ta,et,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,tan,et,et,ta,ta,et,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,et,ta,ta,ta,a,ta,et,ta,ta,tan,tan,tan,tan,tan,tan,,
58,e,e,e,ee,e,e,e,e,et,et,en,,,,,,,et,et,e,e,e,e,e,et,i,i,et,e,e,e,e,e,e,e,e,e,e,e,e,e,e,en,et,et,e,e,et,,e,e,e,e,,,,,,,,et,e,e,e,e,e,et,e,e,en,en,en,en,en,en,,
59,te,ne,ne,tee,ne,ne,te,ne,net,net,ten,s,s,s,s,s,s,net,net,te,te,te,te,teakseen/tunte,net,ti,ti,net,te,te,te,te,te,te,te,te,te,te,te,te,te,te,ten,net,net,te,te,net,temaisillaan/tuntem,te,te,te,te,t,t,t,t,t,t,t,net,te,te,te,ne,te,net,te,te,ten,ten,ten,ten,ten,ten,,
60,hte,hde,hde,htee,hde,hde,hte,hde,hdet,hdet,hten,hdimme,hditte,htivat,hdin,hdit,hti,hdet,hdet,hte,hte,hte,hte,hteakseen,hdet,hti,hti,hdet,hte,hte,hte,hte,hte,hte,hte,hte,hte,hte,hte,hte,hte,hte,hten,hdet,hdet,hte,hte,hdet,hte,hte,hte,hte,hte,ht,ht,ht,ht,ht,ht,ht,hdet,hte,hte,hte,hde,hte,hdet,hte,hte,hten,hten,hten,hten,hten,hten,,
61,i,i,i,ii,i,i,i,i,it,it,in,,,,,,,it,it,i,i,i,i,i,it,i,i,it,i,i,i,i,i,i,i,i,i,i,i,i,i,i,in,it,it,i,i,it,,i,i,i,i,,,,,,,,it,i,i,i,i,i,it,i,i,in,in,in,in,in,in,,
62,oid,oi,oi,oi,oi,oi,oi,oi,oid,oid,oin,o,o,o,o,o,o,oi,oi,oid,oid,oid,oid,oid,oi,oid,oid,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oi,oin,oid,oi,oi,oi,oi,oi,oi,oi,oi,oi,o,o,o,o,o,o,o,oi,oi,oi,oi,oi,oi,oi,oi,oi,oin,oin,oin,oin,oin,oin,,
63,d,,,,,,,,d,d,n,,,,,,,,,d,d,d,d,d,,d,d,,,,,,,,,,,,,,,,n,d,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,,
64,d,,,,,,,,d,d,n,,,,,,,,,d,d,d,d,d,,d,d,,,,,,,,,,,,,,,,n,d,,,,,,,,,,,,,,,,,,,,,,,,,,n,n,n,n,n,n,,
65,ud,u,u,u,u,u,u,u,ud,ud,un,v,v,v,v,v,v,u,u,ud,ud,ud,ud,udakseen/kaud,u,ud,ud,u,u,u,u,u,u,u,u,u,u,u,u,u,u,u,un,ud,u,u,u,u,umaisillansa/kau,u,u,u,u,v,v,v,v,v,v,v,u,u,u,u,u,u,u,u,u,un,un,un,un,un,un,,
66,st,se,se,see,se,se,se,se,st,st,ss,s,s,s,s,s,s,s,s,st,st,st,st,st,s,st,st,s,se,se,se,se,se,se,,,,,,,,,ss,st,s,,,s,,,se,se,se,s,s,s,s,s,s,s,s,s,s,s,se,s,s,,,ss,ss,ss,ss,ss,ss,,
67,##,##,#e,#ee,#e,#e,#e,#e,##,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,,#,#,,#e,#e,#e,#e,#e,#e,#e,#e,#e,#e,#e,#e,#e,#e,#,#,,#e,#e,,,,#e,#e,#e,,,,,,,,,,,,#e,,,#e,#e,#,#,#,#,#,#,,
68,oid,oitse ,oitse,oitsee,oitse,oi,oi,oitse,oid,oid,oin,oits,o,o,oits,oits,oits,oi,oi,oid,oid,oid,oid,oid,oi,oid,oid,oi,oitse,oitse,oitse,oitse,oitse,oitse,oi,oi,oi,oi,oi,oi,oi,oi,oin,oid,oi,oi,oi,oi,,,oitse,,oitse,,oits,oits,oits,oits,oits,oits,oi,oi,oi,oi,oitse,oi,oi,oi,oi,oin,oin,oin,oin,oin,oin,,
69,t,tse,tse,e,e,e,e,e,t,t,nn,ts,ts,ts,ts,ts,ts,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,,,nn,t,t,,,t,,,,,,,,,,,,,t,t,t,t,,t,t,,,nn,nn,nn,nn,nn,nn,,
70,st,kse,kse,ksee,kse,kse,kse,kse,st,st,ss,ks,ks,ks,ks,ks,ks,s,s,st,st,st,st,st,s,st,st,s,kse,kse,kse,kse,kse,kse,kse,kse,kse,kse,kse,kse,kse,kse,ss,,s,kse,kse,s,,,kse,kse,kse,,,,,,,,s,s,s,s,kse,s,s,kse,kse,ss,ss,ss,ss,ss,ss,,
71,hd,e,e,kee,e,e,ke,e,hd,hd,hn,,,k,,,k,h,h,hd,hd,hd,hd,hd,h,hd,hd,h,ke,ke,ke,ke,ke,ke,ke,ke,ke,ke,ke,ke,ke,ke,hn,hd,h,ke,ke,h,ke,ke,ke,ke,ke,k,k,k,k,k,k,k,h,h,h,h,e,h,h,ke,ke,hn,hn,hn,hn,hn,hn,,
72,t,ne,ne,nee,ne,ne,ne,ne,t,t,nn,,,,,,,t,t,t,t,t,t,t,t,t,t,t,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,ne,nn,t,t,ne,ne,t,ne,ne,ne,ne,ne,,,,,,,,t,t,t,t,ne,t,t,ne,ne,nne,nne,nne,nne,nne,nne,
73,at,aa,aa,aa,aa,aa,aa,aa,at,at,ann,as,as,as,as,as,as,at,at,at,at,at,at,at,at,at,at,at,aa,aa,aa,aa,aa,aa,aa,aa,aa,aa,aa,aa,aa,aa,ann,at,at,aa,aa,at,,aa,aa,aa,aa,a,a,a,a,a,a,a,at,at,at,at,aa,at,at,aa,aa,ann,ann,ann,ann,ann,ann,,
74,t,a,a,,,,,,t,t,nn,s,s,s,s,s,s,t,t,t,t,t,t,t,t,t,t,t,,,,,,,,,,,,,,,nn,t,t,,,t,,,,,,,,,,,,,t,t,t,t,,t,t,,,nn,nn,nn,nn,nn,nn,,
75,t,a,a,aa,a,a,a,a,t,t,nn,s,s,s,s,s,s,t,t,t,t,t,t,t,t,t,t,t,a,a,a,a,a,a,,,,,,,,,nn,t,t,,,t,,,a,a,a,a,a,a,a,a,a,a,t,t,t,t,a,t,t,,,nn,nn,nn,nn,nn,nn
76,ta,da,da,taa,da,da,ta,da,det,det,tan,s,s,s,s,s,s,det,det,ta,ta,ta,ta,ta,det,ta,ta,det,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,tan,det,det,ta,ta,det,,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,ta,det,ta,ta,ta,da,ta,det,ta,ta,tan,tan,tan,tan,tan,tan,,
77,aja,Sg1+,Sg2+,ajaa,Pl,Pl,aja,ConNeg+?,ConNeg+,Pe,ConNeg,P,P,aj,Sg1,Sg2,aj,ConNeg,P,aja,aja,aja,aja,aja,,,Ins,,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,Sg,Pl,Sg,aja,aja,,,,aja,aja,aja,aja,aja,aja,aja,aja,aja,aja,,,Pl,P,Sg2+?,S,,aja,aja,P,P,P,Sg1,Sg2,Sg3,,
78,a,Sg1+,Sg2+,aa,Pl,Pl,a,ConNeg+?,ConNeg+,Pe,ConNeg,P,P,P,Sg1,Sg2,Sg3+,ConNeg,P,a,a,a,a,a,,,Ins,,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Sg,Pl,Sg,a,a,,,,a,a,a,a,a,a,a,a,a,a,,,Pl,P,Sg2+?,S,,a,a,P,P,P,Sg1,Sg2,Sg3,,
